      'CASE',      'RAD?',     'TRIM?',      'MACH',        'RE',       'ALT',         'Q',      'BETA',       'PHI',     'ALPHA',        'CL',        'CD',     'CL/CD'
1,0,0,1.25,1.50E+06,50000,266.4388,0,0,-1,-0.122005,0.5611,-0.217438959
1,0,0,1.5,1.80E+06,50000,383.6719,0,0,-1,-0.12051,0.5105,-0.236062684
1,0,0,1.75,2.10E+06,50000,522.2202,0,0,-1,-0.118235,0.4727,-0.25012693
1,0,0,2,2.40E+06,50000,682.0835,0,0,-1,-0.11596,0.4419,-0.26241231
1,0,0,2.5,3.00E+06,50000,1065.7554,0,0,-1,-0.109655,0.385,-0.284818182
1,0,0,3,3.50E+06,50000,1534.6877,0,0,-1,-0.104195,0.3373,-0.308908983
1,0,0,4,4.70E+06,50000,2728.334,0,0,-1,-0.0975,0.2671,-0.365031823
1,0,0,1,1.20E+06,50000,170.5209,0,0,0,0,0.7194,0
1,0,0,1.25,1.50E+06,50000,266.4388,0,0,0,0,0.5575,0
1,0,0,1.5,1.80E+06,50000,383.6719,0,0,0,0,0.507,0
1,0,0,1.75,2.10E+06,50000,522.2202,0,0,0,0,0.4692,0
1,0,0,2,2.40E+06,50000,682.0835,0,0,0,0,0.4385,0
1,0,0,2.5,3.00E+06,50000,1065.7554,0,0,0,0,0.3818,0
1,0,0,3,3.50E+06,50000,1534.6877,0,0,0,0,0.3342,0
1,0,0,4,4.70E+06,50000,2728.334,0,0,0,0,0.2641,0
1,0,0,1,1.20E+06,50000,170.5209,0,0,1,0.19604,0.7248,0.270474614
1,0,0,1.25,1.50E+06,50000,266.4388,0,0,1,0.122005,0.5611,0.217438959
1,0,0,1.5,1.80E+06,50000,383.6719,0,0,1,0.12051,0.5105,0.236062684
1,0,0,1.75,2.10E+06,50000,522.2202,0,0,1,0.118235,0.4727,0.25012693
1,0,0,2,2.40E+06,50000,682.0835,0,0,1,0.11596,0.4419,0.26241231
1,0,0,2.5,3.00E+06,50000,1065.7554,0,0,1,0.109655,0.385,0.284818182
1,0,0,3,3.50E+06,50000,1534.6877,0,0,1,0.104195,0.3373,0.308908983
1,0,0,4,4.70E+06,50000,2728.334,0,0,1,0.0975,0.2671,0.365031823
1,0,0,1,1.20E+06,50000,170.5209,0,0,5,1.0634,0.8639,1.230929506
1,0,0,1.25,1.50E+06,50000,266.4388,0,0,5,0.722085,0.661,1.092413011
1,0,0,1.5,1.80E+06,50000,383.6719,0,0,5,0.72163,0.6113,1.180484214
1,0,0,1.75,2.10E+06,50000,522.2202,0,0,5,0.71006,0.5719,1.241580696
1,0,0,2,2.40E+06,50000,682.0835,0,0,5,0.698555,0.5396,1.294579318
1,0,0,2.5,3.00E+06,50000,1065.7554,0,0,5,0.667225,0.4786,1.394118262
1,0,0,3,3.50E+06,50000,1534.6877,0,0,5,0.640315,0.4274,1.498163313
1,0,0,4,4.70E+06,50000,2728.334,0,0,5,0.606125,0.3526,1.719015882
1,0,0,1,1.20E+06,50000,170.5209,0,0,10,2.24783,1.3337,1.685409013
1,0,0,1.25,1.50E+06,50000,266.4388,0,0,10,1.678885,1.0315,1.627615124
1,0,0,1.5,1.80E+06,50000,383.6719,0,0,10,1.75539,1.01,1.738009901
1,0,0,1.75,2.10E+06,50000,522.2202,0,0,10,1.73355,0.966,1.794565217
1,0,0,2,2.40E+06,50000,682.0835,0,0,10,1.71184,0.9293,1.84207468
1,0,0,2.5,3.00E+06,50000,1065.7554,0,0,10,1.65841,0.8578,1.933329447
1,0,0,3,3.50E+06,50000,1534.6877,0,0,10,1.62136,0.7999,2.026953369
1,0,0,4,4.70E+06,50000,2728.334,0,0,10,1.5561,0.7118,2.186147794
1,0,0,1,1.20E+06,50000,170.5209,0,0,15,3.61075,2.2175,1.628297632
1,0,0,1.25,1.50E+06,50000,266.4388,0,0,15,2.711865,1.7106,1.585329709
1,0,0,1.5,1.80E+06,50000,383.6719,0,0,15,2.903615,1.7553,1.654198712
1,0,0,1.75,2.10E+06,50000,522.2202,0,0,15,2.919865,1.7277,1.690030098
1,0,0,2,2.40E+06,50000,682.0835,0,0,15,2.88847,1.6837,1.715549088
1,0,0,2.5,3.00E+06,50000,1065.7554,0,0,15,2.85103,1.6109,1.769836737
1,0,0,3,3.50E+06,50000,1534.6877,0,0,15,2.795,1.5397,1.815288693
1,0,0,4,4.70E+06,50000,2728.334,0,0,15,2.58388,1.3817,1.870073098
1,0,0,1,1.20E+06,50000,170.5209,0,0,20,5.132595,3.6105,1.421574574
1,0,0,1.25,1.50E+06,50000,266.4388,0,0,20,4.02012,2.8721,1.399714495
1,0,0,1.5,1.80E+06,50000,383.6719,0,0,20,4.17196,2.9169,1.430271864
1,0,0,1.75,2.10E+06,50000,522.2202,0,0,20,4.33303,2.9831,1.452525896
1,0,0,2,2.40E+06,50000,682.0835,0,0,20,4.2848,2.928,1.463387978
1,0,0,2.5,3.00E+06,50000,1065.7554,0,0,20,4.16936,2.8055,1.486137943
1,0,0,3,3.50E+06,50000,1534.6877,0,0,20,3.98151,2.6517,1.501493382
1,0,0,4,4.70E+06,50000,2728.334,0,0,20,3.690505,2.417,1.526894911
1,0,0,1,5.80E+05,65000,83.2505,0,0,-5,-1.06028,0.9184,-1.154486063
1,0,0,1.25,7.20E+05,65000,130.0789,0,0,-5,-0.719745,0.7014,-1.026154833
1,0,0,1.5,8.60E+05,65000,187.3136,0,0,-5,-0.71942,0.6491,-1.108334617
1,0,0,1.75,1.00E+06,65000,254.9546,0,0,-5,-0.708045,0.6075,-1.165506173
1,0,0,2,1.20E+06,65000,333.0019,0,0,-5,-0.69667,0.5732,-1.215404745
1,0,0,2.5,1.40E+06,65000,520.3155,0,0,-5,-0.66547,0.5089,-1.307663588
1,0,0,3,1.70E+06,65000,749.2543,0,0,-5,-0.638755,0.4548,-1.404474494
1,0,0,4,2.30E+06,65000,1332.0076,0,0,-5,-0.604825,0.3757,-1.609861592
1,0,0,1,5.80E+05,65000,83.2505,0,0,-1,-0.195455,0.7796,-0.250711904
1,0,0,1.25,7.20E+05,65000,130.0789,0,0,-1,-0.12155,0.6017,-0.202010969
1,0,0,1.5,8.60E+05,65000,187.3136,0,0,-1,-0.12012,0.5486,-0.218957346
1,0,0,1.75,1.00E+06,65000,254.9546,0,0,-1,-0.11778,0.5085,-0.231622419
1,0,0,2,1.20E+06,65000,333.0019,0,0,-1,-0.11557,0.4757,-0.242947236
1,0,0,2.5,1.40E+06,65000,520.3155,0,0,-1,-0.109265,0.4154,-0.263035628
1,0,0,3,1.70E+06,65000,749.2543,0,0,-1,-0.10387,0.3649,-0.28465333
1,0,0,4,2.30E+06,65000,1332.0076,0,0,-1,-0.09724,0.2903,-0.334963831
1,0,0,1,5.80E+05,65000,83.2505,0,0,0,0,0.7742,0
